features,train score,test score
1,0.800,0.800
2,0.823,0.822
3,0.867,0.867
4,0.912,0.911
5,0.933,0.911
6,0.933,0.933
7,0.956,0.933
8,0.956,0.933
9,0.956,0.933
10,0.956,0.933
11,0.956,0.933
12,0.978,0.933
13,0.978,0.933
14,0.978,0.933
15,0.978,0.933
16,0.978,0.933
17,0.978,0.933
18,0.978,0.933
19,0.978,0.933
20,0.978,0.933
21,0.979,0.911
22,0.979,0.889
23,0.999,0.867
24,0.979,0.867
25,1.000,0.844
26,1.000,0.844
27,1.000,0.822
28,1.000,0.822
29,1.000,0.822
